LOTNO,品番,検査日,検査者1,加工元,検査数,良品数,不良数,不良1,不良2,不良3,不良4,不良5
000153,61,2020-12-04,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000154,74,2021-01-14,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000155,42,2021-02-02,山田,ZZZ,65,65.0,0.0,0.0,0.0,0.0,0.0,0.0
000156,42,2017-04-11,山田,XXX,55,55.0,0.0,0.0,0.0,0.0,0.0,0.0
000157,71,2020-04-10,山田,ZZZ,27,24.0,3.0,0.0,0.0,3.0,0.0,0.0
000158,51,2020-12-03,山田,ZZZ,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
000159,18,2021-01-14,山田,ZZZ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000160,42,2021-02-01,田中,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000161,72,2017-04-11,有田,XXX,163,163.0,0.0,0.0,0.0,0.0,0.0,0.0
000162,71,2020-04-10,大山,ZZZ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000163,61,2020-12-03,山田,ZZZ,190,190.0,0.0,0.0,0.0,0.0,0.0,0.0
000164,21,2021-01-14,山田,QQQ,130,130.0,0.0,0.0,0.0,0.0,0.0,0.0
000165,21,2021-02-08,有田,QQQ,12,8.0,4.0,0.0,4.0,0.0,0.0,0.0
000166,72,2017-04-11,有田,VVV,223,221.0,2.0,0.0,0.0,2.0,0.0,0.0
000167,18,2020-04-14,大山,XXX,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0
000168,61,2020-12-03,山田,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000169,21,2021-01-14,山田,QQQ,145,145.0,0.0,0.0,0.0,0.0,0.0,0.0
000170,61,2021-02-09,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000171,72,2017-04-11,有田,VVV,153,153.0,0.0,0.0,0.0,0.0,0.0,0.0
000172,19,2020-04-14,大山,QQQ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000173,74,2020-12-03,山田,ZZZ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000174,42,2021-01-14,有田,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000175,61,2021-02-09,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000176,72,2017-04-11,藤田,QQQ,98,98.0,0.0,0.0,0.0,0.0,0.0,0.0
000177,19,2020-04-14,大山,QQQ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000178,61,2020-12-03,山田,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000179,42,2021-01-14,有田,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000180,61,2021-02-09,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000181,72,2017-04-11,藤田,QQQ,98,98.0,0.0,0.0,0.0,0.0,0.0,0.0
000182,42,2020-04-14,有田,ZZZ,75,75.0,0.0,0.0,0.0,0.0,0.0,0.0
000183,74,2020-12-03,山田,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000184,21,2021-01-14,有田,QQQ,80,80.0,0.0,0.0,0.0,0.0,0.0,0.0
000185,19,2021-02-09,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000186,72,2017-04-11,藤田,QQQ,407,407.0,0.0,0.0,0.0,0.0,0.0,0.0
000187,42,2020-04-14,大山,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000188,61,2020-12-03,山田,ZZZ,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0
000189,74,2021-01-06,田中,XXX,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000190,19,2021-02-09,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000191,72,2017-04-11,有田,QQQ,407,407.0,0.0,0.0,0.0,0.0,0.0,0.0
000192,44,2020-04-14,大山,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000193,19,2020-12-03,山田,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000194,19,2021-01-08,田中,XXX,50,34.0,16.0,0.0,0.0,5.0,0.0,11.0
000195,61,2021-02-09,有田,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000196,72,2017-04-11,鈴木,XXX,502,500.0,2.0,0.0,0.0,2.0,0.0,0.0
000197,61,2020-04-14,有田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000198,64,2020-12-07,山田,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000199,21,2021-01-15,田中,ZZZ,135,135.0,0.0,0.0,0.0,0.0,0.0,0.0
000200,21,2021-02-09,有田,QQQ,134,121.0,13.0,0.0,13.0,0.0,0.0,0.0
000201,72,2017-04-11,山田,XXX,502,500.0,2.0,0.0,0.0,2.0,0.0,0.0
000202,71,2020-04-14,大山,YYY,13,11.0,2.0,2.0,0.0,0.0,0.0,0.0
000203,19,2020-12-07,山田,ZZZ,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0
000204,21,2021-01-16,田中,YYY,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
000205,20,2021-02-09,山田,QQQ,150,150.0,0.0,0.0,0.0,0.0,0.0,0.0
000206,51,2017-04-12,有田,ZZZ,300,289.0,11.0,11.0,0.0,0.0,0.0,0.0
000207,71,2020-04-14,大山,YYY,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
000208,18,2020-12-04,山田,ZZZ,55,55.0,0.0,0.0,0.0,0.0,0.0,0.0
000209,21,2021-01-16,田中,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000210,20,2021-02-09,山田,QQQ,19,18.0,1.0,0.0,0.0,1.0,0.0,0.0
000211,42,2017-04-13,有田,ZZZ,430,430.0,0.0,0.0,0.0,0.0,0.0,0.0
000212,74,2020-04-14,大山,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000213,51,2020-12-03,山田,ZZZ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000214,18,2021-01-16,田中,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000215,20,2021-02-09,山田,QQQ,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000216,72,2017-04-13,鈴木,XXX,63,63.0,0.0,0.0,0.0,0.0,0.0,0.0
000217,18,2020-04-15,有田,ZZZ,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
000218,74,2020-12-03,山田,ZZZ,45,45.0,0.0,0.0,0.0,0.0,0.0,0.0
000219,42,2021-01-16,田中,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000220,21,2021-02-10,大山,ZZZ,92,92.0,0.0,0.0,0.0,0.0,0.0,0.0
000221,42,2017-04-14,田中,ZZZ,780,762.0,18.0,18.0,0.0,0.0,0.0,0.0
000222,42,2020-04-15,山田,ZZZ,35,35.0,0.0,0.0,0.0,0.0,0.0,0.0
000223,74,2020-12-03,山田,ZZZ,70,70.0,0.0,0.0,0.0,0.0,0.0,0.0
000224,21,2021-01-16,田中,QQQ,33,30.0,3.0,3.0,0.0,0.0,0.0,0.0
000225,21,2021-02-10,大山,ZZZ,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0
000226,42,2017-04-14,鈴木,ZZZ,350,350.0,0.0,0.0,0.0,0.0,0.0,0.0
000227,51,2020-04-15,田中,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000228,74,2020-12-03,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000229,19,2021-01-16,田中,XXX,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000230,21,2021-02-10,大山,ZZZ,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0
000231,42,2017-04-14,鈴木,ZZZ,100,100.0,0.0,0.0,0.0,0.0,0.0,0.0
000232,51,2020-04-15,山田,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000233,74,2020-12-03,山田,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000234,21,2021-01-16,田中,YYY,16,15.0,1.0,1.0,0.0,0.0,0.0,0.0
000235,21,2021-02-10,大山,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000236,72,2017-04-14,鈴木,XXX,153,153.0,0.0,0.0,0.0,0.0,0.0,0.0
000237,61,2020-04-15,山田,ZZZ,50,50.0,0.0,0.0,0.0,0.0,0.0,0.0
000238,42,2020-12-03,山田,ZZZ,85,85.0,0.0,0.0,0.0,0.0,0.0,0.0
000239,73,2021-01-19,田中,QQQ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000240,21,2021-02-10,大山,ZZZ,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0
000241,72,2017-04-17,山田,XXX,203,203.0,0.0,0.0,0.0,0.0,0.0,0.0
000242,61,2020-04-15,山田,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000243,42,2020-12-07,田中,ZZZ,70,70.0,0.0,0.0,0.0,0.0,0.0,0.0
000244,73,2021-01-19,田中,QQQ,45,45.0,0.0,0.0,0.0,0.0,0.0,0.0
000245,21,2021-02-10,大山,YYY,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0
000246,72,2017-04-17,鈴木,XXX,183,183.0,0.0,0.0,0.0,0.0,0.0,0.0
000247,61,2020-04-15,山田,ZZZ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000248,21,2020-12-07,田中,ZZZ,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0
000249,18,2021-01-19,田中,ZZZ,50,50.0,0.0,0.0,0.0,0.0,0.0,0.0
000250,21,2021-02-10,大山,YYY,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
000251,72,2017-04-17,大山,VVV,223,223.0,0.0,0.0,0.0,0.0,0.0,0.0
000252,18,2020-04-16,大山,ZZZ,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0
000253,19,2020-12-07,大山,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000254,73,2021-01-20,田中,QQQ,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0
000255,21,2021-02-10,大山,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000256,72,2017-04-17,鈴木,VVV,203,193.0,10.0,10.0,0.0,0.0,0.0,0.0
000257,18,2020-04-16,大山,ZZZ,15,2.0,13.0,13.0,0.0,0.0,0.0,0.0
000258,61,2020-12-07,大山,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000259,73,2021-01-20,田中,QQQ,42,42.0,0.0,0.0,0.0,0.0,0.0,0.0
000260,21,2021-02-12,大山,QQQ,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000261,42,2017-04-18,有田,YYY,35,35.0,0.0,0.0,0.0,0.0,0.0,0.0
000262,18,2020-04-16,大山,ZZZ,10,3.0,7.0,7.0,0.0,0.0,0.0,0.0
000263,19,2020-12-07,大山,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000264,21,2021-01-20,田中,QQQ,107,99.0,8.0,0.0,8.0,0.0,0.0,0.0
000265,20,2021-02-13,大山,YYY,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
000266,42,2017-04-18,有田,YYY,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0
000267,18,2020-04-16,大山,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000268,19,2020-12-07,大山,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000269,73,2021-01-19,大山,XXX,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0
000270,21,2021-02-13,大山,QQQ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000271,42,2017-04-18,有田,YYY,36,36.0,0.0,0.0,0.0,0.0,0.0,0.0
000272,18,2020-04-16,田中,ZZZ,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0
000273,42,2020-12-07,大山,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000274,61,2021-01-06,大山,WWW,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000275,21,2021-02-13,大山,QQQ,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0
000276,42,2017-04-18,有田,YYY,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0
000277,18,2020-04-16,田中,ZZZ,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0
000278,42,2020-12-07,山田,YYY,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
