"LOTNO","UDATE","SNO","PAL_1","PAL_2","PAL_3"
"a001",2021/06/01 8:01:50,38,19.12547,0.98886,0.07661
"a001",2021/06/01 8:01:50,39,19.94658,1.3633498,0.07487
"a001",2021/06/01 8:01:50,40,20.08093,1.46644,0.06634
"a001",2021/06/01 8:01:50,41,21.19884,1.2575,0.07085
"a001",2021/06/01 8:01:50,42,22.33915,2.76213,0.06651
"a001",2021/06/01 8:01:50,43,20.06336,0.76589,0.11036
"a001",2021/06/01 8:01:50,44,20.68176,1.79533,0.03954
"a001",2021/06/01 8:01:50,45,20.08922,1.26485,0.02671
"a001",2021/06/01 8:01:50,46,21.34556,2.424826,0.05153
"a001",2021/06/01 8:01:50,47,21.59888,1.3548364,0.07304
"a001",2021/06/01 8:01:50,48,22.00808,1.86591,0.05523
"a001",2021/06/01 8:01:50,49,21.42335,1.5628756,0.06671
"a001",2021/06/01 8:01:50,50,20.96248,1.4301,0.06289
"a001",2021/06/01 8:01:50,51,20.49306,0.80623233,0.03693
"a001",2021/06/01 8:01:50,52,21.35788,1.92055,0.09766
"a001",2021/06/01 8:01:50,53,20.91477,1.92046,0.13833
"a001",2021/06/01 8:01:50,54,21.35024,2.31835,0.07189
"a001",2021/06/01 8:01:50,55,21.84304,1.38564,0.05066
"a001",2021/06/01 8:01:50,56,20.16339,1.09302,0.04298
"a001",2021/06/01 8:01:50,57,22.06562,1.77447,0.04801
"a001",2021/06/01 8:01:50,58,20.94968,0.7749181,0.07421
"a001",2021/06/01 8:01:50,59,21.48456,1.6174484,0.06506
"a001",2021/06/01 8:01:50,60,0,0,0
"a001",2021/06/01 8:01:50,61,20.75214,7.117122,0.47253
"a001",2021/06/01 8:01:50,62,21.36204,1.0443,0.05872
"a001",2021/06/01 8:01:50,63,21.34383,1.22588548,0.03067
"a001",2021/06/01 8:01:50,64,22.88831,16.891703,1.42492
"a001",2021/06/01 8:01:50,65,21.41408,1.5390297,0.05797
"a001",2021/06/01 8:01:50,66,22.42664,0.90071,0.09138
"a001",2021/06/01 8:01:50,67,21.85432,1.10506,0.07521
"a001",2021/06/01 8:01:50,68,21.53088,1.3156,0.07556
"a001",2021/06/01 8:01:50,69,21.72677,1.8474065,0.2483
"a001",2021/06/01 8:01:50,70,22.5869,0.91452,0.10525
"a001",2021/06/01 8:01:50,71,22.01204,1.87603365,0.08251
"a001",2021/06/01 8:01:50,72,21.61354,0.8203565,0.04658
"a001",2021/06/01 8:01:50,73,19.95786,0.78801,0.14489
"a001",2021/06/01 8:01:50,74,19.73119,1.0119931,0.04433
"a001",2021/06/01 8:01:50,75,19.96556,1.3423943,0.03445
"a001",2021/06/01 8:01:50,76,0,0,0
"a001",2021/06/01 8:01:50,77,19.83636,0.95731,0.11194
"a001",2021/06/01 8:01:50,78,20.01761,0.96099,0.05222
"a001",2021/06/01 8:01:50,79,0,0,0
"a001",2021/06/01 8:01:50,80,20.29058,0.9828232,0.08001
"a001",2021/06/01 8:01:50,81,20.18075,1.30782,0.04195
"a001",2021/06/01 8:01:50,82,20.48372,0.9268,0.04554
"a001",2021/06/01 8:01:50,83,21.78424,1.8565372,0.05435
"a001",2021/06/01 8:01:50,84,21.63946,1.14482,0.06928
"a001",2021/06/01 8:01:50,85,20.84867,0.677894,0.03757
"a001",2021/06/01 8:01:50,86,21.03912,1.33502,0.04324
"a001",2021/06/01 8:01:50,87,20.90809,1.47946,0.04682
"a001",2021/06/01 8:01:50,88,20.9305,0.93002,0.06686
"a001",2021/06/01 8:01:50,89,20.9661,0.75773,0.08324
"a001",2021/06/01 8:01:50,90,21.01431,0.9536779,0.06798
"a001",2021/06/01 8:01:50,91,21.01638,1.4768436,0.05068
"a001",2021/06/01 8:01:50,92,20.70515,0.63236,0.04911
"a001",2021/06/01 8:01:50,93,20.7457,0.85581,0.04207
"a001",2021/06/01 8:01:50,94,19.7591,1.4555174,0.15814
"a001",2021/06/01 8:01:50,95,20.93189,1.4771322,0.05227
"a001",2021/06/01 8:01:50,96,20.38747,0.93864,0.03706
"a001",2021/06/01 8:01:50,97,20.10768,1.2304791,0.05463
"a001",2021/06/01 8:01:50,98,20.20835,0.82481,0.0324
"a001",2021/06/01 8:01:50,99,20.65327,0.738851,0.06017
"a001",2021/06/01 8:01:50,100,21.45873,1.8272714,0.02472
"a001",2021/06/01 8:01:50,101,21.26389,0.6634,0.0454
"a001",2021/06/01 8:01:50,102,20.90093,0.68887,0.10081
"a001",2021/06/01 8:01:50,103,20.52798,1.44609,0.04564
"a001",2021/06/01 8:01:50,104,21.24317,0.99046,0.08539
"a001",2021/06/01 8:01:50,105,20.92913,1.13249,0.05022
"a001",2021/06/01 8:01:50,106,21.23768,0.97858,0.04845
"a001",2021/06/01 8:01:50,107,21.15508,0.6105,0.077
"a001",2021/06/01 8:01:50,108,21.11006,1.3684648,0.11568
"a001",2021/06/01 8:01:50,109,19.85632,1.12916,0.06608
"a001",2021/06/01 8:01:50,110,20.14245,0.8772193,0.04864
"a001",2021/06/01 8:01:50,111,20.32187,1.1313533,0.0202
"a001",2021/06/01 8:01:50,112,20.72145,1.8173385,0.13933
"a001",2021/06/01 8:01:50,113,20.28625,1.13936,0.03771
"a001",2021/06/01 8:01:50,114,20.3002,1.0104975,0.16387
"a001",2021/06/01 8:01:50,115,20.36249,1.26767,0.10191
"a001",2021/06/01 8:01:50,116,20.41844,1.3319749,0.06975
"a001",2021/06/01 8:01:50,117,20.15503,1.33665,0.02935
"a001",2021/06/01 8:01:50,118,22.15755,0.69534,0.05971
"a001",2021/06/01 8:01:50,119,21.36388,1.43702,0.05122
"a001",2021/06/01 8:01:50,120,21.1776,1.9433207,0.04308
"a001",2021/06/01 8:01:50,121,21.39104,0.7528746,0.04397
"a001",2021/06/01 8:01:50,122,21.43409,0.85998,0.05755
"a001",2021/06/01 8:01:50,123,21.34123,1.3588321,0.06444
"a001",2021/06/01 8:01:50,124,21.48764,1.20278,0.07488
"a001",2021/06/01 8:01:50,125,20.83324,1.45832,0.02635
"a001",2021/06/01 8:01:50,126,21.49736,1.6400306,0.04863
"a001",2021/06/01 8:01:50,127,20.61685,2.7117343,0.05322
"a001",2021/06/01 8:01:50,128,20.81841,0.54860429,0.0393
"a001",2021/06/01 8:01:50,129,19.82149,2.0294184,0.06484
"a001",2021/06/01 8:01:50,130,20.63331,1.07088,0.07297
"a001",2021/06/01 8:01:50,131,20.33824,1.4017254,0.12553
"a001",2021/06/01 8:01:50,132,21.19808,1.1631,0.03716
"a001",2021/06/01 8:01:50,133,20.63869,4.2981385,0.07372
"a001",2021/06/01 8:01:50,134,21.76966,1.14717,0.0247
"a001",2021/06/01 8:01:50,135,21.37918,1.00708,0.06849
"a001",2021/06/01 8:01:50,136,21.09208,0.9907791,0.05637
"a001",2021/06/01 8:01:50,137,20.95333,1.12156,0.04861
"a001",2021/06/01 8:01:50,138,20.92455,1.5718708,0.04279
"a001",2021/06/01 8:01:50,139,20.63468,1.00479,0.1107
"a001",2021/06/01 8:01:50,140,20.94149,0.8634735,0.08734
"a001",2021/06/01 8:01:50,141,20.95946,1.17215,0.05285
"a001",2021/06/01 8:01:50,142,21.25753,1.00429,0.07453
"a001",2021/06/01 8:01:50,143,20.99204,0.9891,0.06174
"a001",2021/06/01 8:01:50,144,21.23833,1.15971,0.05745
"a001",2021/06/01 8:01:50,145,0,0,0
"a001",2021/06/01 8:01:50,146,21.89576,1.6815583,0.07819
"a001",2021/06/01 8:01:50,147,23.4339,1.3838881,0.10138
"a001",2021/06/01 8:01:50,148,22.45031,10.498879,0.23504
"a001",2021/06/01 8:01:50,149,22.78022,0.7397916,0.07653
"a001",2021/06/01 8:01:50,150,22.67186,0.60911075,0.11462
"a001",2021/06/01 8:01:50,151,20.59225,2.980866,0.05908
"a001",2021/06/01 8:01:50,152,20.30431,0.88554,0.10534
"a001",2021/06/01 8:01:50,153,22.93881,6.21323,0.04221
"a001",2021/06/01 8:01:50,154,20.03195,1.0592302,0.03676
"a001",2021/06/01 8:01:50,155,21.11334,1.8618659,0.03242
"a001",2021/06/01 8:01:50,156,23.17719,3.4885354,0.07588
"a001",2021/06/01 8:01:50,157,23.295,9.371848,0.31355
"a001",2021/06/01 8:01:50,158,21.26939,0.7914,0.08219
"a001",2021/06/01 8:01:50,159,0,0,0
"a001",2021/06/01 8:01:50,160,21.87659,2.962811,0.11311
"a001",2021/06/01 8:01:50,161,21.82712,0.8332,0.12264
"a001",2021/06/01 8:01:50,162,21.62942,0.5931227,0.10762
"a001",2021/06/01 8:01:50,163,21.10118,0.83613,0.04115
"a001",2021/06/01 8:01:50,164,21.31931,1.69042735,0.09446
"a001",2021/06/01 8:01:50,165,21.42052,0.93956,0.08047
"a001",2021/06/01 8:01:50,166,21.64301,1.0244624,0.0654
"a001",2021/06/01 8:01:50,167,21.23429,1.15534,0.03964
"a001",2021/06/01 8:01:50,168,21.59825,0.5121,0.04766
"a001",2021/06/01 8:01:50,169,0,0,0
"a001",2021/06/01 8:01:50,170,20.22247,2.0917339,0.06222
"a001",2021/06/01 8:01:50,171,20.58928,1.1147281,0.04493
"a001",2021/06/01 8:01:50,172,20.74615,0.85128363,0.0757
"a001",2021/06/01 8:01:50,173,21.38882,0.88543,0.05954
"a001",2021/06/01 8:01:50,174,21.00079,0.8704193,0.03975
"a001",2021/06/01 8:01:50,175,20.33089,1.12315,0.08085
"a001",2021/06/01 8:01:50,176,20.73193,1.66038,0.09673
"a001",2021/06/01 8:01:50,177,27.73677,1.2409689,0.11591
"a001",2021/06/01 8:01:50,178,21.32062,0.806663,0.0555
"a001",2021/06/01 8:01:50,179,21.05363,0.53665,0.0951
"a001",2021/06/01 8:01:50,180,20.67516,0.93309,0.03919
"a001",2021/06/01 8:01:50,181,20.08885,1.48933,0.01254
"a001",2021/06/01 8:01:50,182,0,0,0
"a001",2021/06/01 8:01:50,183,21.40889,1.4584959,0.04774
"a001",2021/06/01 8:01:50,184,20.60466,0.97736,0.04129
"a001",2021/06/01 8:01:50,185,20.7592,1.56989,0.04454
"a001",2021/06/01 8:01:50,186,19.75133,1.38674,0.04408
"a001",2021/06/01 8:01:50,187,20.33644,1.4578054,0.09119
"a001",2021/06/01 8:01:50,188,20.00012,1.6763,0.04461
"a001",2021/06/01 8:01:50,189,20.12842,1.10728,0.03548
"a001",2021/06/01 8:01:50,190,21.36301,1.16347,0.06323
"a001",2021/06/01 8:01:50,191,20.94549,1.32765,0.06994
"a001",2021/06/01 8:01:50,192,22.63195,2.4831647,0.04888
"a001",2021/06/01 8:01:50,193,20.42426,1.87925,0.07463
"a001",2021/06/01 8:01:50,194,20.9756,1.32076,0.02767
"a001",2021/06/01 8:01:50,195,22.01345,1.47189,0.20043
"a001",2021/06/01 8:01:50,196,21.69313,4.3533,0.06367
"a001",2021/06/01 8:01:50,197,21.61712,1.69446,0.03598
"a001",2021/06/01 8:01:50,198,20.80683,1.89654,0.0631
"a001",2021/06/01 8:01:50,199,21.25533,0.88117356,0.11604
"a001",2021/06/01 8:01:50,200,21.91089,0.7550379,0.09725
"a001",2021/06/01 8:01:50,201,23.20405,1.5535707,0.11557
"a001",2021/06/01 8:01:50,202,21.64261,86.8524809,0.45958
"a001",2021/06/01 8:01:50,203,21.56577,0.63334,0.02595
"a001",2021/06/01 8:01:50,204,0,0,0
"a001",2021/06/01 8:01:50,205,21.6572,1.6225302,0.05539
"a001",2021/06/01 8:01:50,206,23.20141,2.02043,0.19629
"a001",2021/06/01 8:01:50,207,21.48591,1.1166,0.10526
"a001",2021/06/01 8:01:50,208,22.63472,0.96452915,0.05435
"a001",2021/06/01 8:01:50,209,22.39917,1.42331,0.16678
"a001",2021/06/01 8:01:50,210,23.26636,9.089021,0.08686
"a001",2021/06/01 8:01:50,211,21.07882,1.6522226,0.15675
"a001",2021/06/01 8:01:50,212,22.0849,1.9777537,0.16926
"a001",2021/06/01 8:01:50,213,22.49487,2.036443,0.27341
"a001",2021/06/01 8:01:50,214,22.2441,2.667864,0.06915
"a001",2021/06/01 8:01:50,215,0,0,0
"a001",2021/06/01 8:01:50,216,21.11215,0.996,0.07636
"a001",2021/06/01 8:01:50,217,20.13689,0.7809533,0.03649
"a001",2021/06/01 8:01:50,218,20.42135,0.96978511,0.03941
"a001",2021/06/01 8:01:50,219,20.74317,1.05876,0.10276
"a001",2021/06/01 8:01:50,220,21.15229,1.7923876,0.10603
"a001",2021/06/01 8:01:50,221,19.95174,1.6188734,0.0271
"a001",2021/06/01 8:01:50,222,20.30004,1.0440972,0.05385
"a001",2021/06/01 8:01:50,223,19.75614,0.92218,0.0755
"a001",2021/06/01 8:01:50,224,20.07108,1.78638,0.075
"a001",2021/06/01 8:01:50,225,19.96061,0.8976,0.04063
"a001",2021/06/01 8:01:50,226,21.31769,0.91311,0.05117
"a001",2021/06/01 8:01:50,227,20.99027,1.9711872,0.06878
"a001",2021/06/01 8:01:50,228,0,0,0
"a001",2021/06/01 8:01:50,229,20.2691,1.3797014,0.11453
"a001",2021/06/01 8:01:50,230,20.70784,0.7836136,0.07314
"a001",2021/06/01 8:01:50,231,21.27427,1.2019,0.14025
"a001",2021/06/01 8:01:50,232,21.64203,1.20522,0.02308
"a001",2021/06/01 8:01:50,233,20.78681,1.3397766,0.08707
"a001",2021/06/01 8:01:50,234,21.29159,1.1806353,0.075
"a001",2021/06/01 8:01:50,235,20.99569,1.4792881,0.03647
"a001",2021/06/01 8:01:50,236,20.46308,0.91807,0.03824
"a001",2021/06/01 8:01:50,237,21.41563,0.99863,0.03822
"a001",2021/06/01 8:01:50,238,21.16102,2.1028675,0.02555
"a001",2021/06/01 8:01:50,239,21.47048,1.15384155,0.06542
"a001",2021/06/01 8:01:50,240,20.55508,0.9991272,0.08852
"a001",2021/06/01 8:01:50,241,20.82691,1.1899302,0.04334
"a001",2021/06/01 8:01:50,242,20.87684,1.7289261,0.02459
"a001",2021/06/01 8:01:50,243,21.2505,0.7611507,0.05169
"a001",2021/06/01 8:01:50,244,20.90419,1.2721394,0.02983
"a001",2021/06/01 8:01:50,245,20.7708,0.602287,0.05015
"a001",2021/06/01 8:01:50,246,21.60185,0.6090991,0.03384
"a001",2021/06/01 8:01:50,247,20.76158,0.8142715,0.01847
"a001",2021/06/01 8:01:50,248,21.02434,1.11036,0.07567
"a001",2021/06/01 8:01:50,249,21.65861,3.4924221,0.05622
"a001",2021/06/01 8:01:50,250,20.53658,1.0984708,0.04711
"a001",2021/06/01 8:01:50,251,20.98105,1.26081,0.11534
"a001",2021/06/01 8:01:50,252,20.40375,1.2811,0.04897
"a001",2021/06/01 8:01:50,253,20.6162,0.726898159,0.02709
"a001",2021/06/01 8:01:50,254,21.32843,0.6728,0.03332
"a001",2021/06/01 8:01:50,255,22.13995,1.83017,0.0682
"a001",2021/06/01 8:01:50,256,21.6776,2.6352722,0.13014
"a001",2021/06/01 8:01:50,257,20.0706,1.12933358,0.03239
"a001",2021/06/01 8:01:50,258,20.76093,0.92098,0.04957
"a001",2021/06/01 8:01:50,259,19.83925,0.5915377,0.02921
"a001",2021/06/01 8:01:50,260,20.49244,1.5881786,0.03501
"a001",2021/06/01 8:01:50,261,20.94875,0.89128,0.0454
"a001",2021/06/01 8:01:50,262,21.49217,1.30708,0.19148
"a001",2021/06/01 8:01:50,263,20.83302,1.1847465,0.02418
"a001",2021/06/01 8:01:50,264,20.81767,0.9872409,0.05025
"a001",2021/06/01 8:01:50,265,21.75182,0.69873,0.08106
"a001",2021/06/01 8:01:50,266,0,0,0
"a001",2021/06/01 8:01:50,267,22.40634,0.74866,0.13201
"a001",2021/06/01 8:01:50,268,21.36652,2.532762,0.02698
"a001",2021/06/01 8:01:50,269,21.29199,1.27277,0.03018
"a001",2021/06/01 8:01:50,270,20.95205,1.07761,0.02847
"a001",2021/06/01 8:01:50,271,21.66262,1.9255735,0.03937
"a001",2021/06/01 8:01:50,272,21.52935,0.83354,0.04626
"a001",2021/06/01 8:01:50,273,22.11708,1.8508433,0.04595
"a001",2021/06/01 8:01:50,274,21.07255,0.6714,0.11057
"a001",2021/06/01 8:01:50,275,21.63559,2.141876,0.04521
"a001",2021/06/01 8:01:50,276,20.96698,1.00201,0.06888
"a001",2021/06/01 8:01:50,277,20.76387,1.36767,0.05375
"a001",2021/06/01 8:01:50,278,20.3057,1.2101134,0.0666
"a001",2021/06/01 8:01:50,279,22.84155,1.80459,0.03875
"a001",2021/06/01 8:01:50,280,21.09484,1.25289,0.04097
"a001",2021/06/01 8:01:50,281,20.83704,1.14035,0.06024
"a001",2021/06/01 8:01:50,282,22.24782,2.4789307,0.28543
"a001",2021/06/01 8:01:50,283,21.37535,2.1270744,0.03212
"a001",2021/06/01 8:01:50,284,21.34569,1.18416,0.02436
"a001",2021/06/01 8:01:50,285,22.08215,0.95006,0.06128
"a001",2021/06/01 8:01:50,286,21.4984,1.31833,0.0592
"a001",2021/06/01 8:01:50,287,21.20817,1.09029,0.07104
"a001",2021/06/01 8:01:50,288,20.10214,0.97427571,0.08806
"a001",2021/06/01 8:01:50,289,20.39834,0.89513,0.02147
"a001",2021/06/01 8:01:50,290,22.08789,0.9074215,0.06626
"a001",2021/06/01 8:01:50,291,20.79874,1.7091227,0.12277
"a001",2021/06/01 8:01:50,292,20.82207,1.37871,0.02677
"a001",2021/06/01 8:01:50,293,20.74001,18.48815,0.19997
"a001",2021/06/01 8:01:50,294,21.42115,1.19754,0.06085
"a001",2021/06/01 8:01:50,295,21.74895,1.58037,0.05001
"a001",2021/06/01 8:01:50,296,0,0,0
"a001",2021/06/01 8:01:50,297,22.92397,0.63896,0.04573
"a001",2021/06/01 8:01:50,298,0,0,0
"a001",2021/06/01 8:01:50,299,21.8464,0.5751,0.0363
"a001",2021/06/01 8:01:50,300,23.43998,0.4801362,0.05145
"a001",2021/06/01 8:01:50,301,23.65328,1.1249229,0.04045
"a001",2021/06/01 8:01:50,302,21.40715,1.0233904,0.04994
"a001",2021/06/01 8:01:50,303,21.71117,1.3496019,0.1029
"a001",2021/06/01 8:01:50,304,21.68893,0.50268,0.05741
"a001",2021/06/01 8:01:50,305,21.58479,0.9259223,0.06094
"a001",2021/06/01 8:01:50,306,21.32963,0.64499,0.09512
"a001",2021/06/01 8:01:50,307,20.39221,1.2852,0.04973
"a001",2021/06/01 8:01:50,308,20.07105,0.449849,0.10843
"a001",2021/06/01 8:01:50,309,19.81042,0.8206639,0.12189
"a001",2021/06/01 8:01:50,310,20.4585,1.0147532,0.09853
"a001",2021/06/01 8:01:50,311,19.90948,0.95159,0.05604
"a001",2021/06/01 8:01:50,312,19.90135,1.00515689,0.09042
"a001",2021/06/01 8:01:50,313,19.91298,2.1302561,0.11603
"a001",2021/06/01 8:01:50,314,19.96366,0.75627,0.05793
"a001",2021/06/01 8:01:50,315,20.41773,0.96199,0.06054
"a001",2021/06/01 8:01:50,316,21.99662,1.01774,0.03574
"a001",2021/06/01 8:01:50,317,20.48434,0.74695,0.0727
"a001",2021/06/01 8:01:50,318,20.45718,0.6079889,0.09076
"a001",2021/06/01 8:01:50,319,21.21343,1.2433222,0.03903
"a001",2021/06/01 8:01:50,320,20.9127,1.28849,0.04142
"a001",2021/06/01 8:01:50,321,21.02445,1.11152154,0.10674
"a001",2021/06/01 8:01:50,322,0,0,0
"a001",2021/06/01 8:01:50,323,20.79069,1.08511478,0.08324
"a001",2021/06/01 8:01:50,324,20.95223,0.93263,0.08729
"a001",2021/06/01 8:01:50,325,21.82603,1.99854,0.07073
"a001",2021/06/01 8:01:50,326,19.47371,1.34497,0.16036
"a001",2021/06/01 8:01:50,327,21.70583,1.13407791,0.0672
"a001",2021/06/01 8:01:50,328,20.17737,2.393475,0.0371
"a001",2021/06/01 8:01:50,329,0,0,0
"a001",2021/06/01 8:01:50,330,21.25795,1.42714,0.07902
"a001",2021/06/01 8:01:50,331,19.52692,1.6782839,0.03736
"a001",2021/06/01 8:01:50,332,21.17554,2.0628199,0.10292
"a001",2021/06/01 8:01:50,333,20.34706,1.79082,0.05933
"a001",2021/06/01 8:01:50,334,21.64259,3.918985,0.04474
"a001",2021/06/01 8:01:50,335,0,0,0
"a001",2021/06/01 8:01:50,336,0,0,0
"a001",2021/06/01 8:01:50,337,21.2796,1.9106,0.13811
"a001",2021/06/01 8:01:50,338,21.10297,1.64718,0.02558
"a001",2021/06/01 8:01:50,339,21.44794,1.662027,0.04496
"a001",2021/06/01 8:01:50,340,21.46628,1.296686,0.02949
"a001",2021/06/01 8:01:50,341,21.28558,1.1467259,0.08317
"a001",2021/06/01 8:01:50,342,21.34278,2.41704,0.03125
"a001",2021/06/01 8:01:50,343,22.87525,1.43217,0.11329
"a001",2021/06/01 8:01:50,344,21.20209,1.3251758,0.07247
"a001",2021/06/01 8:01:50,345,21.46877,1.49991,0.03734
"a001",2021/06/01 8:01:50,346,21.71696,1.1219714,0.07395
"a001",2021/06/01 8:01:50,347,21.61124,1.47487,0.06891
"a001",2021/06/01 8:01:50,348,21.04253,1.397515,0.06985
"a001",2021/06/01 8:01:50,349,22.44381,0.7326493,0.14984
"a001",2021/06/01 8:01:50,350,20.2078,1.260136,0.04984
"a001",2021/06/01 8:01:50,351,0,0,0
"a001",2021/06/01 8:01:50,352,21.73183,0.8961767,0.05136
"a001",2021/06/01 8:01:50,353,21.56229,1.3797362,0.05487
"a001",2021/06/01 8:01:50,354,21.62422,1.125788,0.08222
"a001",2021/06/01 8:01:50,355,21.50846,1.27143,0.07034
"a001",2021/06/01 8:01:50,356,22.13657,1.74901,0.10776
"a001",2021/06/01 8:01:50,357,23.32123,5.616291,0.06943
"a001",2021/06/01 8:01:50,358,22.55005,0.8528077,0.04905
"a001",2021/06/01 8:01:50,359,21.66571,1.17545,0.05474
"a001",2021/06/01 8:01:50,360,21.44065,1.17785,0.04679
"a001",2021/06/01 8:01:50,361,20.88727,1.4519797,0.01745
"a001",2021/06/01 8:01:50,362,20.84505,0.80643,0.05262
"a001",2021/06/01 8:01:50,363,20.65754,2.96286,0.17589
"a001",2021/06/01 8:01:50,364,21.38212,0.797116,0.04011
"a001",2021/06/01 8:01:50,365,20.62843,1.0193945,0.03803
"a001",2021/06/01 8:01:50,366,20.81175,1.5581219,0.03163
"a001",2021/06/01 8:01:50,367,21.50689,1.5083013,0.07839
"a001",2021/06/01 8:01:50,368,20.33556,1.0085,0.03781
"a001",2021/06/01 8:01:50,369,19.79889,1.51819162,0.04862
"a001",2021/06/01 8:01:50,370,20.63717,1.55376,0.05709
"a001",2021/06/01 8:01:50,371,22.40635,0.66282815,0.04839
"a001",2021/06/01 8:01:50,372,21.18606,1.00211,0.04211
"a001",2021/06/01 8:01:50,373,20.99792,1.16241,0.09686
"a001",2021/06/01 8:01:50,374,21.47546,1.0097,0.0448
"a001",2021/06/01 8:01:50,375,20.79184,0.63065,0.0423
"a001",2021/06/01 8:01:50,376,21.25235,1.47938,0.11567
"a001",2021/06/01 8:01:50,377,21.77219,1.1145,0.0209
"a001",2021/06/01 8:01:50,378,21.47826,0.84349,0.05496
"a001",2021/06/01 8:01:50,379,20.95074,0.96482,0.02949
"a001",2021/06/01 8:01:50,380,20.69637,0.823664,0.05519
"a001",2021/06/01 8:01:50,381,19.9761,1.5923987,0.04064
"a001",2021/06/01 8:01:50,382,20.35455,1.28716,0.04284
"a001",2021/06/01 8:01:50,383,20.68998,0.6379,0.0414
"a001",2021/06/01 8:01:50,384,21.03611,0.938,0.03542
"a001",2021/06/01 8:01:50,385,20.51052,0.7423023,0.04012
"a001",2021/06/01 8:01:50,386,20.18802,1.3392653,0.02856
"a001",2021/06/01 8:01:50,387,20.67217,1.3508733,0.06208
"a001",2021/06/01 8:01:50,388,21.38926,1.10084,0.12867
"a001",2021/06/01 8:01:50,389,20.83028,1.873577,0.07072
"a001",2021/06/01 8:01:50,390,21.858,1.7428452,0.04695
"a001",2021/06/01 8:01:50,391,20.91926,1.760834,0.02759
"a001",2021/06/01 8:01:50,392,20.97413,2.9053308,0.12482
"a001",2021/06/01 8:01:50,393,21.73386,1.06251,0.09656
"a001",2021/06/01 8:01:50,394,21.68278,1.29098,0.13
"a001",2021/06/01 8:01:50,395,21.23988,7.0085324,0.08444
"a001",2021/06/01 8:01:50,396,21.44739,1.3274,0.03629
"a001",2021/06/01 8:01:50,397,21.3779,1.28307,0.0533
"a001",2021/06/01 8:01:50,398,20.76926,1.34341,0.03926
"a001",2021/06/01 8:01:50,399,21.05799,1.20964,0.13071
"a001",2021/06/01 8:01:50,400,20.95097,0.55816,0.05949
"a001",2021/06/01 8:01:50,401,21.80702,0.92866,0.06621
"a001",2021/06/01 8:01:50,402,22.44751,0.8285,0.11659
"a001",2021/06/01 8:01:50,403,20.95019,1.2454,0.06552
"a001",2021/06/01 8:01:50,404,21.67332,1.02315,0.03519
"a001",2021/06/01 8:01:50,405,20.34147,0.93961,0.05703
"a001",2021/06/01 8:01:50,406,21.5438,0.91068,0.05976
"a001",2021/06/01 8:01:50,407,21.87427,1.17526,0.04104
"a001",2021/06/01 8:01:50,408,21.39433,1.1197908,0.03058
"a001",2021/06/01 8:01:50,409,21.60957,1.05451,0.03566
"a001",2021/06/01 8:01:50,410,21.54301,1.25513,0.06431
